都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,緯度,経度,設置者,電話番号,内線番号,SSID,提供エリア,URL,備考,最終確認日
130001,28,東京都,,公衆電話（港区新橋2-19-2）,,,東京都港区新橋2-19-2,,35.666886,139.759642,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,29,東京都,,公衆電話（港区新橋2-6-2）,,,東京都港区新橋2-6-2,,35.667818,139.756753,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,30,東京都,,公衆電話（港区新橋3-11-9）,,,東京都港区新橋3-11-9,,35.666218,139.755617,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,31,東京都,,公衆電話（港区新橋3-6-7）,,,東京都港区新橋3-6-7,,35.665922,139.755308,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,32,東京都,,公衆電話（港区新橋4-24-7）,,,東京都港区新橋4-24-7,,35.663444,139.756698,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,33,東京都,,公衆電話（港区新橋4-6-15）,,,東京都港区新橋4-6-15,,35.664978,139.75497,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,34,東京都,,公衆電話（港区西新橋1-1）,,,東京都港区西新橋1-1,,35.667957,139.754518,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,35,東京都,,公衆電話（港区西新橋1-6-21）,,,東京都港区西新橋1-6-21,,35.669685,139.751882,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,36,東京都,,公衆電話（港区西新橋1-8-1）,,,東京都港区西新橋1-8-1,,35.6692934,139.7523048,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,37,東京都,,公衆電話（港区西新橋2-7-4）,,,東京都港区西新橋2-7-4,,35.666731,139.753953,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,38,東京都,,公衆電話（港区西麻布2-13-11）,,,東京都港区西麻布2-13-11,,35.659847,139.723012,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,39,東京都,,公衆電話（港区赤坂8-12）,,,東京都港区赤坂8-12,,35.668775,139.730258,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,40,東京都,,公衆電話（港区台場1-4）,,,東京都港区台場1-4,,35.627761,139.77221,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,41,東京都,,公衆電話（港区台場1-9）,,,東京都港区台場1-9,,35.625624,139.769531,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,42,東京都,,公衆電話（港区南青山3-11-13）,,,東京都港区南青山3-11-13,,35.666347,139.713831,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,43,東京都,,公衆電話（港区南青山6-5-1）,,,東京都港区南青山6-5-1,,35.662513,139.717132,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,44,東京都,,公衆電話（港区南青山7-5-16）,,,東京都港区南青山7-5-16,,35.657942,139.715018,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,45,東京都,,公衆電話（港区浜松町1-10-12）,,,東京都港区浜松町1-10-12,,35.659218,139.755209,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,46,東京都,,公衆電話（港区浜松町1-29-6）,,,東京都港区浜松町1-29-6,,35.656765,139.756049,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,47,東京都,,公衆電話（港区浜松町2-7-14）,,,東京都港区浜松町2-7-14,,35.653764,139.75444,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,48,東京都,,公衆電話（港区北青山1-6）,,,東京都港区北青山1-6,,35.674982,139.721966,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,49,東京都,,公衆電話（港区北青山2-8-35）,,,東京都港区北青山2-8-35,,35.672245,139.716946,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,50,東京都,,公衆電話（港区北青山3-5-6）,,,東京都港区北青山3-5-6,,35.667097,139.714034,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,51,東京都,,公衆電話（港区麻布十番2-20-6）,,,東京都港区麻布十番2-20-6,,35.654936,139.73684,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,52,東京都,,公衆電話（港区六本木3-1-25）,,,東京都港区六本木3-1-25,,35.665372,139.736889,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,53,東京都,,公衆電話（港区六本木3-3-11）,,,東京都港区六本木3-3-11,,35.663507,139.738271,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,54,東京都,,公衆電話（港区六本木5-10-19）,,,東京都港区六本木5-10-19,,35.658611,139.732559,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,55,東京都,,公衆電話（港区六本木5-13-3）,,,東京都港区六本木5-13-3,,35.659412,139.73645,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,56,東京都,,公衆電話（港区六本木5-16-45）,,,東京都港区六本木5-16-45,,35.660805,139.734815,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,57,東京都,,公衆電話（港区六本木5丁目17-21）,,,東京都港区六本木5丁目17-21,,35.661562,139.736514,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,58,東京都,,公衆電話（港区六本木6-2-37）,,,東京都港区六本木6-2-37,,35.662271,139.730629,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
130001,59,東京都,,公衆電話（荒川区西日暮里2-18-5）,,,東京都荒川区西日暮里2-18-5,,35.728812,139.771565,東京都,,,FREE_Wi-Fi_and_TOKYO,,http://www.wifi-tokyo.jp/ja/,,2024/9/1
